"hour","F0","F0.19","F0.38","F0.56","F0.75","F0.94","F1.12","F1.31","F1.5","F1.69","F1.88","F2.06","F2.25","F2.44","F2.62","F2.81","F3","F3.19","F3.38","F3.56","F3.75","F3.94","F4.12","F4.31","F4.5","F4.69","F4.88","F5.06","F5.25","F5.44","F5.62","F5.81","F6","F6.19","F6.38","F6.56","F6.75","F6.94","F7.12","F7.31","F7.5","F7.69","F7.88","F8.06","F8.25","F8.44","F8.62","F8.81","F9","F9.19","F9.38","F9.56","F9.75","F9.94","F10.12","F10.31","F10.5","F10.69","F10.88","F11.06","F11.25","F11.44","F11.62","F11.81","F12","F12.19","F12.38","F12.56","F12.75","F12.94","F13.12","F13.31","F13.5","F13.69","F13.88","F14.06","F14.25","F14.44","F14.62","F14.81","F15","F15.19","F15.38","F15.56","F15.75","F15.94","F16.12","F16.31","F16.5","F16.69","F16.88","F17.06","F17.25","F17.44","F17.62","F17.81","F18","F18.19","F18.38","F18.56","F18.75","F18.94","F19.12","F19.31","F19.5","F19.69","F19.88","F20.06","F20.25","F20.44","F20.62","F20.81","F21","F21.19","F21.38","F21.56","F21.75","F21.94","F22.12","F22.31","F22.5","F22.69","F22.88","F23.06","F23.25","F23.44","F23.62","F23.81"
"00",0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0.3,0.02,0.4,0.54,0,0,0,0,0.14,0.78,0.04,0,0,0,0,0,0.14,0.38,0.38,0.08,0,0.02,0.08,0.02,0,0.02,0,0,0,0,0,0,0.02,0.02,0,0.02,0,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.06,0.08,0.04,0.1,0.02,0.04,0.14,0.12,0.12,0.04,0.06,0.14,0.08,0.12,0.04,0.12,0.06,0.06,0.06,0.02,0.1,0.06,0.08,0.02,0.02,0.1,0,0.08,0.18,0.06,0.08,0.08,0.1,0.08,0.16,0.08,0.08,0.02,0.1,0.1,0.04,0.06,0.1,0.04,0.02,0.02,0.02,0.04,0.02,0.04,0,0.04,0.02,0,0.02,0.04,0.02,0.02,0.04,0,0.08,0,0.06,0.08,0.18,0.02,0
"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479166666666667,0,0.395833333333333,0.479166666666667,0,0,0,0.0208333333333333,0.208333333333333,0.75,0.0208333333333333,0,0,0,0.0208333333333333,0.0625,0.125,0.354166666666667,0.4375,0,0,0,0.145833333333333,0.208333333333333,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0208333333333333,0,0,0.0416666666666667,0,0,0.0208333333333333,0.0625,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0416666666666667,0.0208333333333333,0.0416666666666667,0.104166666666667,0,0.0416666666666667,0.0833333333333333,0.0416666666666667,0.145833333333333,0.104166666666667,0.0833333333333333,0.0416666666666667,0,0.0416666666666667,0.0833333333333333,0.0833333333333333,0,0.0208333333333333,0.0625,0.0833333333333333,0.0625,0.0416666666666667,0,0.0625,0.0625,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.0625,0.0625,0.0208333333333333,0.0625,0.145833333333333,0.125,0.0416666666666667,0.0416666666666667,0.0625,0.0625,0.0208333333333333,0.0416666666666667,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.0625,0.0416666666666667,0.0833333333333333,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0625,0.0208333333333333,0.0625,0.0208333333333333,0.0833333333333333,0.0208333333333333,0,0.0625,0.0416666666666667,0.0208333333333333,0.0625,0,0.0416666666666667,0.145833333333333,0.0833333333333333,0.0833333333333333,0
"02",0,0,0,0,0,0,0,0.0408163265306122,0,0,0,0.0408163265306122,0,0,0,0,0.0204081632653061,0.469387755102041,0.0204081632653061,0.326530612244898,0.510204081632653,0,0,0,0.0204081632653061,0.224489795918367,0.673469387755102,0.0612244897959184,0,0,0,0,0.0816326530612245,0.122448979591837,0.408163265306122,0.36734693877551,0.0204081632653061,0.0408163265306122,0.122448979591837,0.224489795918367,0.0612244897959184,0.0204081632653061,0.0408163265306122,0,0,0,0,0,0,0,0,0.0204081632653061,0,0.0204081632653061,0,0.0204081632653061,0,0,0,0.0612244897959184,0,0,0,0.0204081632653061,0.0204081632653061,0.0408163265306122,0,0.0204081632653061,0.0612244897959184,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.0204081632653061,0.0612244897959184,0.0408163265306122,0.0204081632653061,0.0612244897959184,0.0816326530612245,0,0,0.0204081632653061,0.0816326530612245,0.0408163265306122,0.0204081632653061,0.0408163265306122,0,0,0.0204081632653061,0.0816326530612245,0.0204081632653061,0.0408163265306122,0,0.0612244897959184,0.0408163265306122,0.0204081632653061,0.0612244897959184,0.0612244897959184,0.0612244897959184,0.0408163265306122,0.0408163265306122,0.0204081632653061,0,0,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0204081632653061,0,0,0,0.0204081632653061,0.0204081632653061,0,0.0204081632653061,0.0612244897959184,0,0.0204081632653061,0.0204081632653061,0,0,0.0204081632653061,0.0408163265306122,0,0.0204081632653061,0.122448979591837,0,0.122448979591837,0
"03",0,0,0.0185185185185185,0,0,0,0,0.0185185185185185,0,0,0,0.0555555555555556,0,0,0,0,0,0.759259259259259,0.0185185185185185,0.185185185185185,0.462962962962963,0,0,0,0.0740740740740741,0.259259259259259,0.462962962962963,0.0185185185185185,0,0,0,0,0.148148148148148,0.333333333333333,0.203703703703704,0.296296296296296,0.037037037037037,0.0185185185185185,0.0740740740740741,0.185185185185185,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0.0185185185185185,0,0.0185185185185185,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0.0185185185185185,0,0.0185185185185185,0.0185185185185185,0,0.037037037037037,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0.0925925925925926,0
"04",0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0.0217391304347826,0.826086956521739,0,0.217391304347826,0.347826086956522,0,0,0,0,0.304347826086957,0.304347826086957,0,0,0,0,0,0.130434782608696,0.282608695652174,0.434782608695652,0.152173913043478,0.0217391304347826,0,0.0217391304347826,0.0652173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0.0217391304347826,0,0,0,0.0217391304347826,0.0217391304347826,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0.0217391304347826,0.0434782608695652,0
"05",0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0.0217391304347826,0,0,0,0,0.0869565217391304,0.739130434782609,0,0.195652173913043,0.152173913043478,0,0,0,0,0.0869565217391304,0.0869565217391304,0,0,0,0,0,0.173913043478261,0.239130434782609,0.478260869565217,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06",0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0.0625,0.0208333333333333,0.0625,0.0208333333333333,0,0.0208333333333333,0,0,0,0,0.0208333333333333,0,0,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0625,0.145833333333333,0.104166666666667,0,0,0.0625,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0.0208333333333333,0,0.0208333333333333,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07",0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08",0,0,0,0,0,0,0,0.0181818181818182,0,0,0,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363636363636364,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
