"hour","F0","F0.19","F0.38","F0.56","F0.75","F0.94","F1.12","F1.31","F1.5","F1.69","F1.88","F2.06","F2.25","F2.44","F2.62","F2.81","F3","F3.19","F3.38","F3.56","F3.75","F3.94","F4.12","F4.31","F4.5","F4.69","F4.88","F5.06","F5.25","F5.44","F5.62","F5.81","F6","F6.19","F6.38","F6.56","F6.75","F6.94","F7.12","F7.31","F7.5","F7.69","F7.88","F8.06","F8.25","F8.44","F8.62","F8.81","F9","F9.19","F9.38","F9.56","F9.75","F9.94","F10.12","F10.31","F10.5","F10.69","F10.88","F11.06","F11.25","F11.44","F11.62","F11.81","F12","F12.19","F12.38","F12.56","F12.75","F12.94","F13.12","F13.31","F13.5","F13.69","F13.88","F14.06","F14.25","F14.44","F14.62","F14.81","F15","F15.19","F15.38","F15.56","F15.75","F15.94","F16.12","F16.31","F16.5","F16.69","F16.88","F17.06","F17.25","F17.44","F17.62","F17.81","F18","F18.19","F18.38","F18.56","F18.75","F18.94","F19.12","F19.31","F19.5","F19.69","F19.88","F20.06","F20.25","F20.44","F20.62","F20.81","F21","F21.19","F21.38","F21.56","F21.75","F21.94","F22.12","F22.31","F22.5","F22.69","F22.88","F23.06","F23.25","F23.44","F23.62","F23.81"
"00",0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122448979591837,0.0612244897959184,0,0.591836734693878,0.387755102040816,0,0,0.0408163265306122,0.63265306122449,0.122448979591837,0,0.0612244897959184,0,0.0612244897959184,0.0408163265306122,0.0408163265306122,0,0.142857142857143,0.36734693877551,0.448979591836735,0.0408163265306122,0,0.102040816326531,0.346938775510204,0.326530612244898,0.102040816326531,0.408163265306122,0.122448979591837,0.122448979591837,0.0204081632653061,0.326530612244898,0.102040816326531,0.224489795918367,0.204081632653061,0.0612244897959184,0.183673469387755,0.142857142857143,0.142857142857143,0.142857142857143,0.204081632653061,0.0408163265306122,0.142857142857143,0.163265306122449,0.163265306122449,0.102040816326531,0.0204081632653061,0,0,0,0,0.0204081632653061,0,0,0,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0612244897959184,0,0,0.0612244897959184,0.0408163265306122,0.0612244897959184,0.0816326530612245,0.0408163265306122,0.102040816326531,0.0204081632653061,0.0816326530612245,0.0408163265306122,0.102040816326531,0.0204081632653061,0.122448979591837,0.0612244897959184,0.0408163265306122,0.122448979591837,0.0816326530612245,0.0816326530612245,0.0204081632653061,0.0204081632653061,0,0.0408163265306122,0,0.0204081632653061,0.0204081632653061,0,0,0.0204081632653061,0,0.0408163265306122,0,0.0204081632653061,0,0,0,0,0,0,0.0204081632653061,0,0,0,0.0612244897959184,0.0408163265306122,0.102040816326531,0.0816326530612245,0.102040816326531,0.0816326530612245,0.0816326530612245,0.142857142857143,0.183673469387755,0.102040816326531,0
"01",0,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152173913043478,0.0434782608695652,0,0.565217391304348,0.41304347826087,0,0,0.0434782608695652,0.673913043478261,0.173913043478261,0.0217391304347826,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0217391304347826,0.0652173913043478,0.0217391304347826,0.130434782608696,0.5,0.326086956521739,0.0217391304347826,0,0.152173913043478,0.58695652173913,0.217391304347826,0.0217391304347826,0.0434782608695652,0.173913043478261,0.0652173913043478,0.0434782608695652,0.195652173913043,0.282608695652174,0.195652173913043,0.217391304347826,0.108695652173913,0.282608695652174,0.304347826086957,0.0869565217391304,0.130434782608696,0.217391304347826,0.130434782608696,0.0652173913043478,0.239130434782609,0.217391304347826,0.0217391304347826,0.0217391304347826,0,0,0.0217391304347826,0,0,0,0.0217391304347826,0.0217391304347826,0,0,0,0.0217391304347826,0.0217391304347826,0.0217391304347826,0,0.0434782608695652,0.0217391304347826,0.108695652173913,0.0652173913043478,0.0869565217391304,0,0.0217391304347826,0.0652173913043478,0.0434782608695652,0.0217391304347826,0,0.0217391304347826,0.108695652173913,0.0217391304347826,0.108695652173913,0,0,0,0.0217391304347826,0,0,0,0.0217391304347826,0.0217391304347826,0,0,0,0.0217391304347826,0,0,0,0,0,0.0217391304347826,0,0,0,0.0217391304347826,0,0,0,0.0434782608695652,0.130434782608696,0.0652173913043478,0.152173913043478,0.0652173913043478,0.130434782608696,0.217391304347826,0.130434782608696,0.195652173913043,0
"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391304347826087,0.0652173913043478,0,0.652173913043478,0.326086956521739,0,0,0.108695652173913,0.543478260869565,0.152173913043478,0.0434782608695652,0.0217391304347826,0.0217391304347826,0,0.0434782608695652,0.108695652173913,0.0652173913043478,0.173913043478261,0.391304347826087,0.369565217391304,0,0.0217391304347826,0.195652173913043,0.630434782608696,0.152173913043478,0,0.108695652173913,0.0652173913043478,0.130434782608696,0.108695652173913,0.195652173913043,0.260869565217391,0.260869565217391,0.152173913043478,0.0869565217391304,0.217391304347826,0.195652173913043,0.0869565217391304,0.217391304347826,0.304347826086957,0.130434782608696,0.108695652173913,0.195652173913043,0.239130434782609,0.0434782608695652,0.0217391304347826,0,0,0,0,0,0,0,0,0,0.0217391304347826,0.0217391304347826,0,0,0.0434782608695652,0.0217391304347826,0,0.0652173913043478,0.0869565217391304,0.0217391304347826,0.0434782608695652,0.0217391304347826,0.0434782608695652,0.0652173913043478,0,0.0217391304347826,0.0434782608695652,0.0217391304347826,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0217391304347826,0.0217391304347826,0,0.0217391304347826,0,0,0,0,0.0217391304347826,0,0,0,0,0.0217391304347826,0,0,0,0.0217391304347826,0,0,0,0,0,0,0,0.0217391304347826,0.0434782608695652,0.152173913043478,0.152173913043478,0.0434782608695652,0.0652173913043478,0.0652173913043478,0.369565217391304,0.173913043478261,0.108695652173913,0
"03",0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0.386363636363636,0.181818181818182,0.0227272727272727,0.636363636363636,0.318181818181818,0,0,0.0681818181818182,0.477272727272727,0.159090909090909,0,0,0,0,0.0681818181818182,0.0681818181818182,0.0454545454545455,0.272727272727273,0.386363636363636,0.272727272727273,0,0.0227272727272727,0.227272727272727,0.659090909090909,0.0909090909090909,0,0.0681818181818182,0.0227272727272727,0.0909090909090909,0.113636363636364,0.181818181818182,0.295454545454545,0.272727272727273,0.136363636363636,0.159090909090909,0.0681818181818182,0.272727272727273,0.136363636363636,0.136363636363636,0.227272727272727,0.136363636363636,0.0454545454545455,0.272727272727273,0.113636363636364,0.0681818181818182,0,0.0227272727272727,0.0227272727272727,0,0,0.0227272727272727,0,0,0,0,0,0.0227272727272727,0,0,0,0,0.0227272727272727,0.0227272727272727,0.0681818181818182,0,0.0227272727272727,0,0.0227272727272727,0.0454545454545455,0,0.0227272727272727,0.0227272727272727,0.0454545454545455,0,0,0,0.0227272727272727,0.0227272727272727,0.0227272727272727,0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0.0227272727272727,0,0,0,0.0227272727272727,0,0,0.0227272727272727,0,0,0.0454545454545455,0.159090909090909,0.113636363636364,0.0909090909090909,0.0454545454545455,0.159090909090909,0.136363636363636,0.136363636363636,0.204545454545455,0
"04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0.688888888888889,0.0444444444444444,0.0222222222222222,0.622222222222222,0.266666666666667,0,0,0.0666666666666667,0.4,0.133333333333333,0,0,0,0,0,0.0222222222222222,0.0666666666666667,0.355555555555556,0.377777777777778,0.133333333333333,0,0.133333333333333,0.288888888888889,0.377777777777778,0.111111111111111,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0888888888888889,0.0888888888888889,0.0222222222222222,0.155555555555556,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0444444444444444,0,0.0222222222222222,0.0222222222222222,0,0,0.0222222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0.0666666666666667,0.0222222222222222,0.111111111111111,0.177777777777778,0.0444444444444444,0.2,0.177777777777778,0.155555555555556,0.0888888888888889,0
"05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232558139534884,0.511627906976744,0.0465116279069767,0,0.627906976744186,0.0930232558139535,0,0,0.13953488372093,0.13953488372093,0.0697674418604651,0,0,0,0,0,0,0.0465116279069767,0.162790697674419,0.325581395348837,0.116279069767442,0,0.0232558139534884,0.116279069767442,0.232558139534884,0.0697674418604651,0.0930232558139535,0.0465116279069767,0,0,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0.0232558139534884,0,0,0,0,0,0.0232558139534884,0,0.0232558139534884,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0.0232558139534884,0,0,0,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232558139534884,0,0,0.0232558139534884,0.0232558139534884,0.0232558139534884,0.0232558139534884,0.0232558139534884,0
"06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0.0731707317073171,0.024390243902439,0,0,0.0487804878048781,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0.024390243902439,0,0,0,0.0487804878048781,0.024390243902439,0.024390243902439,0.024390243902439,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07",0,0,0,0,0,0,0.0666666666666667,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0.0444444444444444,0.0888888888888889,0.0888888888888889,0.0666666666666667,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.0222222222222222,0.133333333333333,0.177777777777778,0.0222222222222222,0,0,0.0444444444444444,0.0888888888888889,0.288888888888889,0.0222222222222222,0.0222222222222222,0,0,0.0222222222222222,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0.0666666666666667,0.0444444444444444,0,0.0666666666666667,0.0444444444444444,0.0222222222222222,0.0222222222222222,0,0,0,0,0,0,0.0222222222222222,0,0,0.0222222222222222,0,0,0,0,0.0666666666666667,0.0222222222222222,0,0.0444444444444444,0,0,0,0,0,0.0222222222222222,0,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754716981132075,0,0.0566037735849057,0.113207547169811,0,0.0188679245283019,0,0,0,0,0,0,0,0,0,0.0943396226415094,0.320754716981132,0.0377358490566038,0,0,0.0377358490566038,0.0943396226415094,0.415094339622642,0.113207547169811,0.113207547169811,0,0.0377358490566038,0.0754716981132075,0,0,0,0.0188679245283019,0,0,0,0,0,0,0.0566037735849057,0.0377358490566038,0,0.0377358490566038,0.0377358490566038,0.0188679245283019,0.0566037735849057,0.0377358490566038,0.0566037735849057,0.113207547169811,0.113207547169811,0.0943396226415094,0.0188679245283019,0.0377358490566038,0,0,0.0188679245283019,0,0,0.0188679245283019,0.0188679245283019,0.0377358490566038,0.0188679245283019,0.0566037735849057,0.0377358490566038,0,0.0188679245283019,0.0188679245283019,0.0566037735849057,0,0,0,0,0,0,0,0,0,0.0377358490566038,0.113207547169811,0.113207547169811,0.169811320754717,0.169811320754717,0.0377358490566038,0.0188679245283019,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188679245283019,0,0.0188679245283019,0,0,0,0.0188679245283019,0
"09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0.0357142857142857,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0.0535714285714286,0.339285714285714,0.25,0.0178571428571429,0,0.0357142857142857,0.107142857142857,0.375,0.339285714285714,0.0714285714285714,0.0178571428571429,0,0.0178571428571429,0.0892857142857143,0,0,0.0178571428571429,0,0,0,0,0,0,0.0178571428571429,0.0892857142857143,0.0178571428571429,0.0535714285714286,0.0535714285714286,0.107142857142857,0.178571428571429,0.107142857142857,0.125,0.142857142857143,0.196428571428571,0.0178571428571429,0.107142857142857,0.0535714285714286,0.0357142857142857,0.0178571428571429,0,0,0.0178571428571429,0.0178571428571429,0.107142857142857,0.125,0.125,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0892857142857143,0.0714285714285714,0.0178571428571429,0.0535714285714286,0,0,0.0178571428571429,0,0,0,0,0,0.0178571428571429,0.160714285714286,0.107142857142857,0.321428571428571,0.0892857142857143,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0
