"hour","F0","F0.19","F0.38","F0.56","F0.75","F0.94","F1.12","F1.31","F1.5","F1.69","F1.88","F2.06","F2.25","F2.44","F2.62","F2.81","F3","F3.19","F3.38","F3.56","F3.75","F3.94","F4.12","F4.31","F4.5","F4.69","F4.88","F5.06","F5.25","F5.44","F5.62","F5.81","F6","F6.19","F6.38","F6.56","F6.75","F6.94","F7.12","F7.31","F7.5","F7.69","F7.88","F8.06","F8.25","F8.44","F8.62","F8.81","F9","F9.19","F9.38","F9.56","F9.75","F9.94","F10.12","F10.31","F10.5","F10.69","F10.88","F11.06","F11.25","F11.44","F11.62","F11.81","F12","F12.19","F12.38","F12.56","F12.75","F12.94","F13.12","F13.31","F13.5","F13.69","F13.88","F14.06","F14.25","F14.44","F14.62","F14.81","F15","F15.19","F15.38","F15.56","F15.75","F15.94","F16.12","F16.31","F16.5","F16.69","F16.88","F17.06","F17.25","F17.44","F17.62","F17.81","F18","F18.19","F18.38","F18.56","F18.75","F18.94","F19.12","F19.31","F19.5","F19.69","F19.88","F20.06","F20.25","F20.44","F20.62","F20.81","F21","F21.19","F21.38","F21.56","F21.75","F21.94","F22.12","F22.31","F22.5","F22.69","F22.88","F23.06","F23.25","F23.44","F23.62","F23.81"
"00",0,0,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0.0192307692307692,0,0,0,0,0.0384615384615385,0.192307692307692,0.230769230769231,0.269230769230769,0,0,0.0192307692307692,0.115384615384615,0.153846153846154,0,0,0,0,0.0384615384615385,0.0192307692307692,0,0.0769230769230769,0.269230769230769,0.153846153846154,0.384615384615385,0.134615384615385,0.0576923076923077,0.288461538461538,0.326923076923077,0.269230769230769,0.0576923076923077,0.0192307692307692,0,0,0,0,0,0,0,0,0.0192307692307692,0,0.0192307692307692,0.0576923076923077,0.0384615384615385,0.0576923076923077,0,0.0576923076923077,0.211538461538462,0.115384615384615,0.0769230769230769,0.0769230769230769,0.134615384615385,0.153846153846154,0.153846153846154,0.115384615384615,0.153846153846154,0.230769230769231,0.115384615384615,0.115384615384615,0.0961538461538462,0.192307692307692,0.153846153846154,0.153846153846154,0.0384615384615385,0.0961538461538462,0.134615384615385,0.0769230769230769,0.192307692307692,0.0961538461538462,0.115384615384615,0.173076923076923,0.192307692307692,0.173076923076923,0.192307692307692,0.115384615384615,0.192307692307692,0.230769230769231,0.0576923076923077,0.115384615384615,0.115384615384615,0.0769230769230769,0.0961538461538462,0.0384615384615385,0.0769230769230769,0.0961538461538462,0.0576923076923077,0.0384615384615385,0.0769230769230769,0.0192307692307692,0.0192307692307692,0.0384615384615385,0.0769230769230769,0.0769230769230769,0.0384615384615385,0.0192307692307692,0.134615384615385,0.0576923076923077,0.0384615384615385,0.0961538461538462,0.115384615384615,0.0769230769230769,0.0769230769230769,0.0961538461538462,0.0769230769230769,0.0769230769230769,0.115384615384615,0.0961538461538462,0.115384615384615,0.0769230769230769,0.115384615384615,0.0769230769230769,0.0769230769230769,0.0961538461538462,0
"01",0,0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0.153846153846154,0.153846153846154,0.326923076923077,0,0,0,0.0576923076923077,0.0769230769230769,0.0192307692307692,0,0,0,0.0384615384615385,0,0,0.0961538461538462,0.25,0.211538461538462,0.307692307692308,0.134615384615385,0.115384615384615,0.288461538461538,0.25,0.173076923076923,0.0192307692307692,0,0,0,0,0,0,0,0,0.0192307692307692,0,0,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0576923076923077,0,0.0769230769230769,0.0961538461538462,0.0769230769230769,0.0576923076923077,0.115384615384615,0.115384615384615,0.0961538461538462,0.192307692307692,0.153846153846154,0.134615384615385,0.134615384615385,0.230769230769231,0.0576923076923077,0.192307692307692,0.153846153846154,0.134615384615385,0.134615384615385,0.0961538461538462,0.115384615384615,0.153846153846154,0.153846153846154,0.0961538461538462,0.0769230769230769,0.134615384615385,0.153846153846154,0.153846153846154,0.211538461538462,0.326923076923077,0.134615384615385,0.115384615384615,0.25,0.173076923076923,0.134615384615385,0.0769230769230769,0.153846153846154,0.134615384615385,0.115384615384615,0.0769230769230769,0.0961538461538462,0.0769230769230769,0.0192307692307692,0.0384615384615385,0.0384615384615385,0.0769230769230769,0.0576923076923077,0.0384615384615385,0.0576923076923077,0.0769230769230769,0.0192307692307692,0.0769230769230769,0.115384615384615,0.0961538461538462,0.0192307692307692,0.0576923076923077,0.0769230769230769,0.0961538461538462,0.115384615384615,0.115384615384615,0.0384615384615385,0.115384615384615,0.173076923076923,0.0384615384615385,0.134615384615385,0.0961538461538462,0.0576923076923077,0.0961538461538462,0.115384615384615,0
"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.2,0.12,0.3,0,0,0.02,0.06,0.06,0.02,0,0,0,0,0.04,0.02,0.08,0.3,0.24,0.26,0.1,0.22,0.28,0.24,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.04,0.04,0.06,0.06,0.14,0.04,0.14,0.14,0.14,0.16,0.18,0.08,0.08,0.16,0.14,0.16,0.1,0.12,0.2,0.1,0.08,0.14,0.16,0.12,0.1,0.18,0.16,0.2,0.3,0.22,0.16,0.24,0.12,0.22,0.16,0.14,0.14,0.06,0.08,0.14,0.04,0.06,0.04,0.02,0.04,0.04,0.02,0.04,0.06,0.04,0.04,0.16,0.08,0.06,0.06,0.06,0.06,0.14,0.1,0.14,0.04,0.12,0.04,0.12,0.12,0.04,0.02,0.1,0.14,0
"03",0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0.173913043478261,0.239130434782609,0.217391304347826,0.0434782608695652,0,0,0.0217391304347826,0,0,0,0,0,0,0.0434782608695652,0,0.152173913043478,0.239130434782609,0.260869565217391,0.304347826086957,0.0217391304347826,0.108695652173913,0.41304347826087,0.152173913043478,0.173913043478261,0,0,0,0,0.0217391304347826,0,0,0.0217391304347826,0,0,0,0,0,0.0217391304347826,0.0217391304347826,0.0869565217391304,0.0217391304347826,0.0217391304347826,0.0652173913043478,0.0652173913043478,0.108695652173913,0.0652173913043478,0.152173913043478,0.0652173913043478,0.152173913043478,0.173913043478261,0.173913043478261,0.108695652173913,0.152173913043478,0.0652173913043478,0.0652173913043478,0.108695652173913,0.195652173913043,0.173913043478261,0.0869565217391304,0.108695652173913,0.217391304347826,0.0869565217391304,0,0.152173913043478,0.0869565217391304,0.0434782608695652,0.239130434782609,0.130434782608696,0.173913043478261,0.152173913043478,0.130434782608696,0.152173913043478,0.217391304347826,0.152173913043478,0.108695652173913,0.0869565217391304,0.152173913043478,0.0652173913043478,0.108695652173913,0.0869565217391304,0,0.0217391304347826,0.0869565217391304,0.0652173913043478,0.0217391304347826,0.0652173913043478,0.130434782608696,0.0652173913043478,0.0434782608695652,0.0652173913043478,0.173913043478261,0.130434782608696,0.0217391304347826,0.108695652173913,0.0869565217391304,0.0652173913043478,0.0869565217391304,0.108695652173913,0.108695652173913,0.0217391304347826,0.152173913043478,0.0652173913043478,0.0652173913043478,0.0652173913043478,0.0217391304347826,0.195652173913043,0.108695652173913,0.0869565217391304,0
"04",0,0,0,0,0.0408163265306122,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0.0408163265306122,0.102040816326531,0.122448979591837,0.224489795918367,0.0612244897959184,0.0204081632653061,0.0204081632653061,0.0204081632653061,0,0,0,0,0.0204081632653061,0,0.0204081632653061,0.0816326530612245,0.224489795918367,0.26530612244898,0.224489795918367,0.224489795918367,0.0612244897959184,0.142857142857143,0.346938775510204,0.26530612244898,0.102040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.0612244897959184,0.102040816326531,0.0204081632653061,0.0816326530612245,0.0816326530612245,0.102040816326531,0.0816326530612245,0.0612244897959184,0.102040816326531,0.102040816326531,0.0612244897959184,0.0816326530612245,0.102040816326531,0.0612244897959184,0.102040816326531,0.0816326530612245,0.0816326530612245,0.0408163265306122,0.0816326530612245,0.0612244897959184,0.0816326530612245,0.0408163265306122,0.0612244897959184,0.102040816326531,0.0816326530612245,0.163265306122449,0.0816326530612245,0.0816326530612245,0.102040816326531,0.163265306122449,0.0816326530612245,0.0408163265306122,0.163265306122449,0.0612244897959184,0.0816326530612245,0.102040816326531,0.0408163265306122,0.102040816326531,0.0612244897959184,0.0612244897959184,0.0408163265306122,0.0612244897959184,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0612244897959184,0.0612244897959184,0.0816326530612245,0.0816326530612245,0.0204081632653061,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.0612244897959184,0.0408163265306122,0.0612244897959184,0.0408163265306122,0.0612244897959184,0.0816326530612245,0.0816326530612245,0.0816326530612245,0.0204081632653061,0.0612244897959184,0
"05",0,0,0,0.0196078431372549,0,0.0392156862745098,0.0392156862745098,0,0,0,0,0,0,0,0,0,0,0,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.176470588235294,0,0,0,0.0196078431372549,0.0196078431372549,0,0,0,0,0,0,0.0588235294117647,0.176470588235294,0.274509803921569,0.156862745098039,0.176470588235294,0.0588235294117647,0.235294117647059,0.450980392156863,0.235294117647059,0.0196078431372549,0.0196078431372549,0,0,0.0196078431372549,0,0,0,0,0.0196078431372549,0,0,0,0,0.0196078431372549,0.0196078431372549,0,0,0,0,0.0392156862745098,0.0196078431372549,0,0.0392156862745098,0.0784313725490196,0,0.0196078431372549,0,0,0.0196078431372549,0.0392156862745098,0,0.0980392156862745,0,0.0392156862745098,0.0392156862745098,0,0.0196078431372549,0.0784313725490196,0,0.0588235294117647,0.0392156862745098,0.0588235294117647,0.0980392156862745,0.0196078431372549,0.0784313725490196,0.0392156862745098,0.0392156862745098,0.0392156862745098,0,0.0392156862745098,0.0196078431372549,0,0.0196078431372549,0.0588235294117647,0,0.0588235294117647,0,0,0,0,0,0,0,0,0.0392156862745098,0,0.0196078431372549,0,0.0196078431372549,0.0392156862745098,0.0196078431372549,0,0,0,0,0,0.0196078431372549,0,0,0,0,0.0392156862745098,0.0196078431372549,0.0196078431372549,0
"06",0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0416666666666667,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0.0208333333333333,0,0.104166666666667,0.291666666666667,0.3125,0.270833333333333,0.0208333333333333,0.0208333333333333,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0.0416666666666667,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0.0416666666666667,0,0,0.0416666666666667,0,0,0.0625,0,0.0833333333333333,0.125,0.145833333333333,0.125,0.0625,0.208333333333333,0.104166666666667,0.104166666666667,0.0416666666666667,0.125,0.0208333333333333,0.0416666666666667,0.0416666666666667,0.0208333333333333,0,0.0208333333333333,0.0208333333333333,0.0416666666666667,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0.0208333333333333,0,0
"07",0,0,0,0.04,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.3,0.3,0.24,0,0.06,0,0,0,0.02,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0.02,0,0,0.02,0,0.04,0.02,0,0.02,0,0,0,0,0,0,0.02,0.02,0.02,0,0,0.04,0,0.06,0.06,0.06,0.06,0.06,0.04,0.02,0.04,0.08,0.02,0.04,0.04,0.02,0.04,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
"08",0,0,0,0,0,0.0408163265306122,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408163265306122,0.0816326530612245,0.0408163265306122,0,0.0612244897959184,0.122448979591837,0.142857142857143,0.285714285714286,0.0612244897959184,0.0612244897959184,0,0,0.0204081632653061,0,0,0.0204081632653061,0,0,0,0,0.0204081632653061,0.0204081632653061,0,0,0,0,0.0204081632653061,0,0.0204081632653061,0,0.0204081632653061,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.0816326530612245,0,0.0408163265306122,0,0,0.0816326530612245,0,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0408163265306122,0,0.0612244897959184,0.0408163265306122,0.0408163265306122,0.0408163265306122,0,0.122448979591837,0,0.0612244897959184,0.0612244897959184,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.0408163265306122,0,0,0.122448979591837,0.122448979591837,0.0204081632653061,0,0.0204081632653061,0.0204081632653061,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0.0204081632653061,0.0408163265306122,0,0,0.0204081632653061,0,0.0204081632653061,0.0204081632653061,0.0408163265306122,0
"09",0,0,0,0.0185185185185185,0,0.037037037037037,0,0.0185185185185185,0,0,0,0,0.0185185185185185,0,0,0.0185185185185185,0,0,0,0.0185185185185185,0,0,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0.0740740740740741,0.259259259259259,0.0555555555555556,0,0.037037037037037,0.0185185185185185,0.259259259259259,0.203703703703704,0.0740740740740741,0.037037037037037,0.0185185185185185,0.0185185185185185,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.037037037037037,0,0.037037037037037,0.0185185185185185,0.0185185185185185,0.037037037037037,0.0740740740740741,0.12962962962963,0.111111111111111,0.0185185185185185,0.0185185185185185,0,0,0.037037037037037,0.0555555555555556,0.0185185185185185,0.0740740740740741,0.0925925925925926,0.037037037037037,0.111111111111111,0.0555555555555556,0.0740740740740741,0,0.037037037037037,0.0740740740740741,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.037037037037037,0.0555555555555556,0.0185185185185185,0,0.037037037037037,0.037037037037037,0.0185185185185185,0.0555555555555556,0.111111111111111,0.0925925925925926,0.0740740740740741,0.0555555555555556,0,0.037037037037037,0,0.0185185185185185,0,0.0185185185185185,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0.037037037037037,0.0185185185185185,0.037037037037037,0,0.0185185185185185,0.037037037037037,0,0,0,0.0555555555555556,0
