"hour","F0","F0.19","F0.38","F0.56","F0.75","F0.94","F1.12","F1.31","F1.5","F1.69","F1.88","F2.06","F2.25","F2.44","F2.62","F2.81","F3","F3.19","F3.38","F3.56","F3.75","F3.94","F4.12","F4.31","F4.5","F4.69","F4.88","F5.06","F5.25","F5.44","F5.62","F5.81","F6","F6.19","F6.38","F6.56","F6.75","F6.94","F7.12","F7.31","F7.5","F7.69","F7.88","F8.06","F8.25","F8.44","F8.62","F8.81","F9","F9.19","F9.38","F9.56","F9.75","F9.94","F10.12","F10.31","F10.5","F10.69","F10.88","F11.06","F11.25","F11.44","F11.62","F11.81","F12","F12.19","F12.38","F12.56","F12.75","F12.94","F13.12","F13.31","F13.5","F13.69","F13.88","F14.06","F14.25","F14.44","F14.62","F14.81","F15","F15.19","F15.38","F15.56","F15.75","F15.94","F16.12","F16.31","F16.5","F16.69","F16.88","F17.06","F17.25","F17.44","F17.62","F17.81","F18","F18.19","F18.38","F18.56","F18.75","F18.94","F19.12","F19.31","F19.5","F19.69","F19.88","F20.06","F20.25","F20.44","F20.62","F20.81","F21","F21.19","F21.38","F21.56","F21.75","F21.94","F22.12","F22.31","F22.5","F22.69","F22.88","F23.06","F23.25","F23.44","F23.62","F23.81"
"00",0,0,0,0,0,0,0,0,0,0,0,0.176470588235294,0.0294117647058824,0,0,0,0,0.0588235294117647,0,0.352941176470588,0.470588235294118,0,0.0588235294117647,0.0882352941176471,0,0,0,0,0.0294117647058824,0,0,0,0,0.0294117647058824,0,0.176470588235294,0.323529411764706,0.352941176470588,0.147058823529412,0.0294117647058824,0,0.0588235294117647,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0
"01",0,0,0,0,0,0,0,0,0,0,0,0.129032258064516,0.032258064516129,0,0,0,0,0,0,0.451612903225806,0.451612903225806,0,0.0645161290322581,0.161290322580645,0,0,0,0,0,0,0,0,0,0.0645161290322581,0.129032258064516,0.161290322580645,0.193548387096774,0.258064516129032,0.290322580645161,0,0.032258064516129,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0.032258064516129,0.0645161290322581,0,0.0645161290322581,0,0.032258064516129,0,0,0,0.0645161290322581,0.032258064516129,0,0.032258064516129,0,0.0645161290322581,0,0,0.032258064516129,0.0645161290322581,0.032258064516129,0,0.0967741935483871,0.0645161290322581,0
"02",0,0,0,0,0,0,0,0,0,0,0,0.0740740740740741,0,0,0,0,0,0.037037037037037,0,0.37037037037037,0.407407407407407,0,0.0740740740740741,0.0740740740740741,0,0,0,0,0,0,0,0,0,0,0.0740740740740741,0.185185185185185,0.259259259259259,0.333333333333333,0.185185185185185,0.037037037037037,0.037037037037037,0.0740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0.037037037037037,0.148148148148148,0.111111111111111,0.111111111111111,0.0740740740740741,0.0740740740740741,0.148148148148148,0.111111111111111,0.185185185185185,0.111111111111111,0.185185185185185,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.296296296296296,0.037037037037037,0.0740740740740741,0.111111111111111,0.037037037037037,0.185185185185185,0,0.148148148148148,0.037037037037037,0.037037037037037,0.185185185185185,0.0740740740740741,0.259259259259259,0.148148148148148,0
"03",0,0,0,0,0,0,0,0,0,0,0,0.0740740740740741,0,0,0,0,0,0.185185185185185,0,0.296296296296296,0.407407407407407,0.037037037037037,0.0740740740740741,0.0740740740740741,0,0,0,0,0,0,0,0,0,0.0740740740740741,0.0740740740740741,0.111111111111111,0.407407407407407,0.296296296296296,0.037037037037037,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0.037037037037037,0,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.148148148148148,0.111111111111111,0.185185185185185,0.0740740740740741,0.148148148148148,0.259259259259259,0.037037037037037,0.0740740740740741,0.222222222222222,0.0740740740740741,0.111111111111111,0.111111111111111,0.185185185185185,0.0740740740740741,0.0740740740740741,0.111111111111111,0.0740740740740741,0.037037037037037,0.111111111111111,0.222222222222222,0.0740740740740741,0.111111111111111,0.185185185185185,0.222222222222222,0
"04",0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0.192307692307692,0,0.384615384615385,0.307692307692308,0.0384615384615385,0.230769230769231,0.115384615384615,0,0,0,0,0,0,0,0,0.0384615384615385,0.0384615384615385,0.115384615384615,0.115384615384615,0.192307692307692,0.269230769230769,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0.153846153846154,0.192307692307692,0.153846153846154,0.0384615384615385,0.230769230769231,0.192307692307692,0.153846153846154,0.115384615384615,0.230769230769231,0.115384615384615,0.153846153846154,0.153846153846154,0.115384615384615,0.153846153846154,0.153846153846154,0.0769230769230769,0.0769230769230769,0.115384615384615,0.0769230769230769,0.0384615384615385,0.115384615384615,0.192307692307692,0.153846153846154,0.0769230769230769,0.192307692307692,0.153846153846154,0
"05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0.1,0.1,0.1,0.05,0.1,0.15,0.15,0,0.1,0.25,0.05,0.1,0.15,0.15,0.05,0.15,0.1,0.1,0,0.2,0.1,0.15,0.1,0.1,0.2,0.05,0.15,0
"06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0416666666666667,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0.0416666666666667,0.0833333333333333,0.125,0.0833333333333333,0.125,0.0833333333333333,0.0833333333333333,0.166666666666667,0.125,0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.208333333333333,0.0833333333333333,0.125,0.208333333333333,0.0833333333333333,0.0833333333333333,0.125,0.0416666666666667,0.166666666666667,0.0833333333333333,0.125,0,0.0833333333333333,0.166666666666667,0.125,0
"07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
